,Address,Price,Beds,Baths,Location,All_Text
48,57 Veterans Dr,"$1,199,000 CAD",4+1 beds,4 baths,"


Northwest Brampton
Veterans Dr


(  )
- BTC

","

57 Veterans Dr
$1,199,000 CAD
4 baths
4+1 beds




Northwest Brampton
Veterans Dr


(  )
- BTC


Absolutely-Stunning Corner Lot Detached House In The North-West Brampton Neighborhood. Filled With Natural Sunlight. Hardwood Flooring Done On The Main Floor And California Shutters Done In The Entire House. Chef Delight Kitchen W/Central Island, Granite Counter Top...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
49,2 Louisburg Cres,"$2,500,000 CAD",5+1 beds,6 baths,"


Credit Valley
Louisburg Cres


(  )
- BTC

","

2 Louisburg Cres
$2,500,000 CAD
6 baths
5+1 beds




Credit Valley
Louisburg Cres


(  )
- BTC


This Stunning 4,000-Sf Detached 5 Bed, 6 Washrms Loaded With Upgrades. It Features Exotic Hardwood Flooring And Tiles. Upgraded Kitchen With Stone Countertops And Butler's Pantry. Soaring Ceiling Heights And Designer Touches Throughout! With Crown Molding And Pot...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
50,477 Downes Jackson Hts,"$1,199,900 CAD",3+1 beds,3 baths,"


Ford
Downes Jackson Hts


(  )
- BTC

","

477 Downes Jackson Hts
$1,199,900 CAD
3 baths
3+1 beds




Ford
Downes Jackson Hts


(  )
- BTC


View Multimedia Tour!! Stunning Semi-Detached Located In A Desirable Area Of Milton. Living Space: 2500 Sqft; Approx 2 Years New Home. Functional Open Concept Layout W/Hardwood Flooringt-Out Main Floor. Open-Concept Kitchen Open To Backyard. Separate Dining Area...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
51,66 Histon Cres,"$896,913 CAD",5+2 beds,3 baths,"


Madoc
Histon Cres


(  )
- BTC

","

66 Histon Cres
$896,913 CAD
3 baths
5+2 beds




Madoc
Histon Cres


(  )
- BTC


Spacious Bright 5 Level 5 Bedrooms And 3 Full Washrooms And 2 Separate Ent. Very Good For Investment Or First Time Buyer It Has 3 Separate Unit New Roof And Furnace 2014 New Driveway 2016 New Windows 2017 New Basement Kitchan 2018 Close To School Backing Into Park 3...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
52,152 Owen St,"$999,000 CAD",3+1 beds,3 baths,"

Barrie
City Centre
Owen St


(  )
- BTC

","

152 Owen St
$999,000 CAD
3 baths
3+1 beds



Barrie
City Centre
Owen St


(  )
- BTC


Attention Investors! Legal Registered Triplex. Totally Renovated 1X2-Bdr, 2X1-Bdr Units. All Units Have Separate Entrances. 2 Laundries. 2 Furnaces. 3 Hydro Meters. Vacant Possession. Garage Converted Into 3 Lockers For Additional Income. Rm2 Zoning With Huge Lot 66' X...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
53,4060 10th Sdrd,"$2,499,000 CAD",3+1 beds,3 baths,"

Bradford West Gwillimbury
Rural Bradford West Gwillimbury
10th Sdrd


(  )
- BTC

","

4060 10th Sdrd
$2,499,000 CAD
3 baths
3+1 beds



Bradford West Gwillimbury
Rural Bradford West Gwillimbury
10th Sdrd


(  )
- BTC


Very Private 10.5 Acres Surrounded By Simcoe County Forest With Beautiful Sunsets & No Neighbors For Your Complete Privacy. This Home Sits On Some Of The Highest Land In The Bradford Area With Great Sandy Soil. The Home Is A Sprawling 2,600 Sq Brick Bungalow With Many...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
54,232 Conklin Cres,"$1,988,000 CAD",4 beds,4 baths,"

Aurora
Rural Aurora
Conklin Cres


(  )
- BTC

","

232 Conklin Cres
$1,988,000 CAD
4 baths
4 beds



Aurora
Rural Aurora
Conklin Cres


(  )
- BTC


Absolutely Luxurious & Back-To-Ravine 3650Sqft 2-Storey House W/ Over $200K Upgrades! 10Ft Ceiling On Main, 9Ft On 2nd&Bsmt. Basmt Unfinished Look-Out To Ravine! Upgrade Kitchen W/ B/I Appl, Granite C'tops, Crown Moulding & Wall Trims Throughout, Waffle Ceiling...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
55,99 Birch Ave,"$3,198,888 CAD",4+1 beds,5 baths,"

Richmond Hill
South Richvale
Birch Ave


(  )
- BTC

","

99 Birch Ave
$3,198,888 CAD
5 baths
4+1 beds



Richmond Hill
South Richvale
Birch Ave


(  )
- BTC


Two Family Ability W/Elevator To All 3 Lvls And Grg! 1.33Acre One Of A Kind Ravine Lot! 3722Sf!Full Stone Custom Home + Bright Finished W/O Lower Lvl W/Inlaw Suite! 103 Ft Front 413Ft Depth! Pool Sized Backing To Yr Own Picturesque Pvt Ravine! Quality Maintained By...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
56,110 Avenue Rd,"$1,649,000 CAD",3 beds,2 baths,"

Newmarket
Central Newmarket
Avenue Rd


(  )
- BTC

","

110 Avenue Rd
$1,649,000 CAD
2 baths
3 beds



Newmarket
Central Newmarket
Avenue Rd


(  )
- BTC


Stunning Sidesplit On A 53X250F Lot(Future Potential For Development With The Back Lots)On A Dead End Street In Heart Of Newmarket.Open Concept & Tastefully Renovated With S/S Kitchen Appliances, Quartz Ctop, B/I Microwave & Oven, Gas Burning Cooktop, Pot Lights And...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
57,67 Cachet Pkwy,"$6,480,000 CAD",5+3 beds,9 baths,"

Markham
Devil's Elbow
Cachet Pkwy


(  )
- BTC

","

67 Cachet Pkwy
$6,480,000 CAD
9 baths
5+3 beds



Markham
Devil's Elbow
Cachet Pkwy


(  )
- BTC


Welcome To The Luxury Custom Build Mansion In Prestigious Cachet Estates Country Club With Appox 12,000Sqft Of Luxury Living Space. On A Over 1 Acre Lot* $450K+ Upgrd Stone Pillars Amd Wrought-Iron Fence, Remote Controlled Gates, Stone Circular Driveway W/5 Tandem...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
58,1908 Bur Oak Ave,"$999,999 CAD",3+1 beds,4 baths,"


Greensborough
Bur Oak Ave


(  )
- BTC

","

1908 Bur Oak Ave
$999,999 CAD
4 baths
3+1 beds




Greensborough
Bur Oak Ave


(  )
- BTC


Absolutely Stunning, Completely Finished Freehold Townhome! No Detail Has Been Spared. Hardwood Flooring Throughout (M & 2nd), Upgraded Kitchen, Foyer, Staircase, Updated Basement Layout W/ A Separate Bedroom + 3 Pc Ensuite + Laundry & B/I Shelving. Did I Mention The...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
59,162 Ted Miller Cres,"$999,900 CAD",4+1 beds,4 baths,"

Clarington
Bowmanville
Ted Miller Cres


(  )
- BTC

","

162 Ted Miller Cres
$999,900 CAD
4 baths
4+1 beds



Clarington
Bowmanville
Ted Miller Cres


(  )
- BTC


Prime Location In The Highly Desired Brookhill Community! This Gorgeous 4 Bedroom Brookfield Home Filled W/ Custom Upgrades, Crown Molding, D/ Door Entrance, 9Ft Ceiling On Main, Hardwood Throughout The Main & 2nd Floor, Heated Porcelain Tiles On Ensuite. Modern...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
60,5 Kecala Rd,"$999,000 CAD",3+1 beds,2 baths,"

Toronto
Dorset Park
Kecala Rd


(  )
- BTC

","

5 Kecala Rd
$999,000 CAD
2 baths
3+1 beds



Toronto
Dorset Park
Kecala Rd


(  )
- BTC


Renovated,Well Maintained 3 Level Backsplit On A Beautiful 140' Mature Treed Lot*Gleaming Hardwood Floors On Main & Upper Level*Open Concept Kitchen With Ceramic Floor & Walk-Out To Yard*L-Shaped Dining & Living Room With Floor To Ceiling Fireplace**Updated Main...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
61,895 Sproule Cres,"$1,199,000 CAD",4+3 beds,5 baths,"

Oshawa
Pinecrest
Sproule Cres


(  )
- BTC

","

895 Sproule Cres
$1,199,000 CAD
5 baths
4+3 beds



Oshawa
Pinecrest
Sproule Cres


(  )
- BTC


Welcome To Your New Home! This Luxurious Remodeled 4+3 Bdrm Home Boasts An Open Concept Layout Complete W/ Hardwood Flrs And Spiral Iron Wrought Staircase. Immaculately Updated From Top To Bottom, This Home Features A Gourmet Kitchen Complete W/ Quartz Countertops And...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
62,383 Windfilelds Farm Dr,"$1,299,000 CAD",4 beds,4 baths,"


Windfields
Windfilelds Farm Dr


(  )
- BTC

","

383 Windfilelds Farm Dr
$1,299,000 CAD
4 baths
4 beds




Windfields
Windfilelds Farm Dr


(  )
- BTC


4 Bedroom 4 Washroom Home In High Demand North Oshawa, Double Door Entry, Main Flr 10 Ft  Ceiling,.Pot Lights,  Professional Landscape, Close To Shopping Restaurant , Costco. Fridge, Stove, Dishwasher, Washer, Dryer,


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
63,956 Kicking Horse Path,"$879,999 CAD",5 beds,5 baths,"


McLaughlin
Kicking Horse Path


(  )
- BTC

","

956 Kicking Horse Path
$879,999 CAD
5 baths
5 beds




McLaughlin
Kicking Horse Path


(  )
- BTC


Welcome To 956 Kicking Horse Path. 5Bedroom, 5 Bathroom Home Is In The Highly Sought After Mclaughlin Community.Open Concept. Large Master Room W 4 Pc Ensuite & Walkin Closet. Wonderful Layout, Great For Family Living W/Lots Of Space For Entertainment. Finished...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
64,39 Oceanpearl Cres,"$1,000,000 CAD",4+1 beds,4 baths,"

Whitby
Blue Grass Meadows
Oceanpearl Cres


(  )
- BTC

","

39 Oceanpearl Cres
$1,000,000 CAD
4 baths
4+1 beds



Whitby
Blue Grass Meadows
Oceanpearl Cres


(  )
- BTC


Impressive 4+1 Bdrm Home W/Finished W/O Basement Located In Highly Sought After Neighbourhood. Open Concept Living& Dining Rm W/Glistening Hardwood Floors Thru-Out Main. Eat-In Kitchen W/ S/S Appls, Granite Countertops, Custom Backsplash, & W/O To Large Covered Deck...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
65,75 Perfitt Cres,"$999,000 CAD",3+1 beds,4 baths,"

Ajax
Central
Perfitt Cres


(  )
- BTC

","

75 Perfitt Cres
$999,000 CAD
4 baths
3+1 beds



Ajax
Central
Perfitt Cres


(  )
- BTC


Amazing Location, Close To All Amenities, 401, 407 & Go Station. This Beautiful Detached Home Screams Pride Of Ownership & Is Located In The Heart Of Ajax, With Fully Finished Bsmt. With 4Bdrms & Full Bath. Main Flr Featuring A Great Functional Layout With An Open...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
66,61 Tams Dr,"$849,900 CAD",3 beds,2 baths,"


Central East
Tams Dr


(  )
- BTC

","

61 Tams Dr
$849,900 CAD
2 baths
3 beds




Central East
Tams Dr


(  )
- BTC


Location! Location! Location! This Beautiful Updated Freehold Town Home Features 3Beds 2Baths In Great Ajax Location!  *Miniutes Away From Hwy 401, Walking Distance To Costco,Walmart,Home Depot,Gym, Go Station ,Schools,&More! This Move In Ready Home Features An Updated...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
67,465 Cummer Ave,"$1,580,000 CAD",2+3 beds,2 baths,"


Newtonbrook East
Cummer Ave


(  )
- BTC

","

465 Cummer Ave
$1,580,000 CAD
2 baths
2+3 beds




Newtonbrook East
Cummer Ave


(  )
- BTC


Location! Location! Location! Perfectly Located In The Heart Of North York. Great Income Generating Property. Feel Free To Add You Own Personal Touch. Steps To Bus Stop (Literally Right Across The Street) Going Towards Finch Station. Excellent School Network And Only A...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
68,287 Codsell Ave,"$999,000 CAD",4+1 beds,3 baths,"


Bathurst Manor
Codsell Ave


(  )
- BTC

","

287 Codsell Ave
$999,000 CAD
3 baths
4+1 beds




Bathurst Manor
Codsell Ave


(  )
- BTC


Super Convenient Location: 10 Mins Walk To Sheppard W. Subway, 5 Mins Drive To Hwy401, Yorkdale Shopping Centre, Easy Access To Downtown & York University, Steps From Top-Ranked William Leon Mackenzine C.I. Functional Lay-Out, 4 Brs, 3 Wrs, Finished Bsmt W/Separate...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
69,575 Woodward Ave,"$750,000 CAD",3 beds,2 baths,"

Hamilton
Parkview
Woodward Ave


(  )
- BTC

","

575 Woodward Ave
$750,000 CAD
2 baths
3 beds



Hamilton
Parkview
Woodward Ave


(  )
- BTC


Brand New Urban End Unit Townhouse Backing On To The Park. 9 Ft Ceiling. Walkout From Breakfast To Deck. Den At Ground Level Can Be A Nice Office For Work From Home Or Can Be Used As 4th Br. Close To All Amenities - Easy Access To Qew, Redhill Valley All Existing...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
70,778 Laurelwood Dr 501,"$599,900 CAD",2 beds,2 baths,"

Waterloo


(  )
- BTC

","

778 Laurelwood Dr 501
$599,900 CAD
2 baths
2 beds



Waterloo


(  )
- BTC


Spacious 2 Bedroom, 2 Full Bath Condo With A Large Balcony (65 Sq Ft). Open Concept Living With An Abundance Of Natural Light. Stainless Steel Appliances, Breakfast Bar, Carpet Free, Laminate Flooring In Foyer, Kitchen, Living/Dining And Bedrooms. Ceramic In All...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
71,1135 Royal York Rd #205,"$609,900 CAD",1+1 beds,1 baths,"


Edenbridge-Humber Valley
Royal York Rd


(  )
- BTC

","

1135 Royal York Rd #205
$609,900 CAD
1 baths
1+1 beds




Edenbridge-Humber Valley
Royal York Rd


(  )
- BTC


Bright & Spacious 1 Bed + Den In The James Club. Enjoy A.M. Coffee On Your Private South Facing Balcony O/Looking A ""Living Rooftop"". Open Concept Living/Dining/Kitchen Area Is Great For Entertaining. Convenient Layout, Breakfast Bar & Ample Cabinetry. Large Primary...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
72,223 Webb Dr 2706,"$898,888 CAD",2+1 beds,2 baths,"

Mississauga
City Centre
Webb Dr


(  )
- BTC

","

223 Webb Dr 2706
$898,888 CAD
2 baths
2+1 beds



Mississauga
City Centre
Webb Dr


(  )
- BTC


Luxurious Condo In The Heart Of Mississauga With A Stunning Panoramic View Overlooking The Cn Towner And Lakeshore Views. Just Minutes To The 403,401 ,407 & Qew . Astonishing Neighborhood Walking Distance To Sq1 Mall , This Property Is Surrounded By Schools , Shopping...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
73,5240 Dundas St 607,"$499,999 CAD",1 beds,1 baths,"

Burlington
Orchard
Dundas St


(  )
- BTC

","

5240 Dundas St 607
$499,999 CAD
1 baths
1 beds



Burlington
Orchard
Dundas St


(  )
- BTC


Welcome Home To This Beautifully Modern & Trendy 1 Bedroom + Den With 9'Ft Ceilings, Laminate Floor, Designer Kit Cabinetry & Polished Quartz Countertops, Kit Island, S/S Appliances & Ensuite Laundry. This Sun-Filled Condo W/Large Windows Offers Fantastic Amenities...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
74,200 Manitoba St 118,"$879,000 CAD",2+1 beds,2 baths,"


Mimico
Manitoba St


(  )
- BTC

","

200 Manitoba St 118
$879,000 CAD
2 baths
2+1 beds




Mimico
Manitoba St


(  )
- BTC


Be Immediately Wowed & At Home The Moment You Enter This Stunning 2+1 Bedroom Condo Loft With Dramatic Windows & Soaring Ceiling Height Offering South West Exposure. Spacious Living Rm With Gas Fireplace That Walk Out To Huge Patio. 2 Spacious Bedrooms, Renovated...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
75,25 Laidlaw St 524,"$758,000 CAD",2 beds,1 baths,"


South Parkdale
Laidlaw St


(  )
- BTC

","

25 Laidlaw St 524
$758,000 CAD
1 baths
2 beds




South Parkdale
Laidlaw St


(  )
- BTC


Do Not Miss!! Sophisticated & Unique Two Bedroom Stacked Townhouse In South Parkdale With Approx 820 Sqft. Upgraded Kitchen W/ Ss Appliances, Granite Counter Top & Backsplash. Large Open Concept Living Room With Gas Fireplace & Walk Out To Balcony. A Bright...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
76,50 Kaitting Tr 304,"$680,000 CAD",1+1 beds,1 baths,"

Oakville
Rural Oakville
Kaitting Tr


(  )
- BTC

","

50 Kaitting Tr 304
$680,000 CAD
1 baths
1+1 beds



Oakville
Rural Oakville
Kaitting Tr


(  )
- BTC


**Assignment Sale**Proprty Under Construction, No Physical Showing!!Gorgeous 1 Bdrm+1 Bath Apt, Mattamy Built .Unit Consist Of Open Concept Liv/Din, Modern Kitchen W/Granite Coutrtop Including Upper Stacked Cabinets. Spacious  Bdrm W/ Closet. Open Concept Layout With...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
77,610 Bullock Dr 506,"$960,000 CAD",2+1 beds,2 baths,"

Markham
Markville
Bullock Dr


(  )
- BTC

","

610 Bullock Dr 506
$960,000 CAD
2 baths
2+1 beds



Markham
Markville
Bullock Dr


(  )
- BTC


Tridel Hunt Club-Like A 5 Star Hotel In Unionville -Dazzling Bright Rooms -24 Hr Concierge-Split Bedrooms -Granite Kitchen Counters  -Ensuite Locker -Primary Bedroom Has His/Her Closets, Walkout To Balcony -6 Pc Renovated Bath-2 Parking Plus & Owned Locker-Great...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
78,396 Highway 7 Rd 310,"$649,000 CAD",1+1 beds,1 baths,"

Richmond Hill
Doncrest
Highway 7 Rd


(  )
- BTC

","

396 Highway 7 Rd 310
$649,000 CAD
1 baths
1+1 beds



Richmond Hill
Doncrest
Highway 7 Rd


(  )
- BTC


2 Year New Luxury Valleymede Towers In The Heart Of Richmond Hill (Leslie/Hwy 7), 1 B + Den W/ 650 Sf, Expansive Balcony + Spacious B & Den (Den Can Be Easily Turned Into 2nd B), 9' Ceiling Thru, Large Windows W/ Unobstructed South Views, Gourmet Kitchen W 2-Tone...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
79,898 Portage Pkwy 2009,"$799,000 CAD",2 beds,2 baths,"

Vaughan
Vaughan Corporate Centre
Portage Pkwy


(  )
- BTC

","

898 Portage Pkwy 2009
$799,000 CAD
2 baths
2 beds



Vaughan
Vaughan Corporate Centre
Portage Pkwy


(  )
- BTC


Beautiful Views From This Corner Unit, With South Western Exposure. Watch The Sunset From Your Unit Or From The Large Balcony, Lots Of Light, Freshly Painted With 9' Ceilings, Modern Kitchen, Steps To Vaughan Subway And Bus Terminal. Comes With One Parking Spot, Locker...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
80,7161 Yonge St 2426,"$769,000 CAD",2 beds,2 baths,"

Markham
Thornhill
Yonge St


(  )
- BTC

","

7161 Yonge St 2426
$769,000 CAD
2 baths
2 beds



Markham
Thornhill
Yonge St


(  )
- BTC


All You Need For A Perfect Two Bed, 2 Wash, Is Here! Close To 900 Sqft, Large Den. Freshly Painted, Brand New Kitchen Cabinet, Renovated Flooring And Washrooms, Open Concept Kitchen, Spacious Living And Dining Area, Deep Walk-In Closet In Bdrm, Clear West & South View...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
81,11121 Yonge St 309,"$599,000 CAD",1+1 beds,1 baths,"

Richmond Hill
Devonsleigh
Yonge St


(  )
- BTC

","

11121 Yonge St 309
$599,000 CAD
1 baths
1+1 beds



Richmond Hill
Devonsleigh
Yonge St


(  )
- BTC


Immaculate One Bedroom Plus Den With Open Balcony. Freshly Decorated With New Laminate Flooring Throughout. Over 700 Sq Ft With Unobstructed Western Exposure. Open Concept Kitchen With Breakfast Bar And Stainless Steel Appliances Overlooks The Spacious Living Room...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
82,50 Brian Harrison Way 1606,"$448,888 CAD",1 beds,1 baths,"

Toronto
Bendale
Brian Harrison Way


(  )
- BTC

","

50 Brian Harrison Way 1606
$448,888 CAD
1 baths
1 beds



Toronto
Bendale
Brian Harrison Way


(  )
- BTC


Location! Location! Location! Welcome To Equinox Ii With State Of The Art Amenities. This 1 Bedroom Spacious Suite Offers A Neutral Decor, Freshly Painted, Laminate Floors, Inviting Kitchen With Backsplash, Combined Living & Dining, Master Bedroom With A Double Door...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
