,Address,Price,Beds,Baths,City,Area,Street,Description
81,11121 Yonge St 309,599000,1+1,1,Richmond Hill,Devonsleigh,Yonge St,Immaculate One Bedroom Plus Den With Open Balcony. Freshly Decorated With New Laminate Flooring Throughout. Over 700 Sq Ft With Unobstructed Western Exposure. Open Concept Kitchen With Breakfast Bar And Stainless Steel Appliances Overlooks The Spacious Living Room...
82,50 Brian Harrison Way 1606,448888,1,1,Toronto,Bendale,Brian Harrison Way,"Location! Location! Location! Welcome To Equinox Ii With State Of The Art Amenities. This 1 Bedroom Spacious Suite Offers A Neutral Decor, Freshly Painted, Laminate Floors, Inviting Kitchen With Backsplash, Combined Living & Dining, Master Bedroom With A Double Door..."
83,1215 Bayly St 1110,579900,1,1,Pickering,Bay Ridges,Bayly St,"Welcome To This Gorgeous Open Concept 1-Bdrm Suite!!! Bright & Spacious, Upgraded Laminate Floors Throughout, 1 Car Parking & Locker Owned, 24Hr Concierge, Indoor Pool, Hot Tub, Steam Room, Gym, Party Room, Yoga, & Rec Room. Minutes From The Park, Lake & Frenchman's..."
84,1800 Rex Heath Dr,799900,3,3,,Duffin Heights,Rex Heath Dr,"Stunning Upgraded Town House In Highly Desired Duffin Heights.Top 5 Reasons To Buy * Smooth 9 Ft Ceiling On Main, *2021 Hardwood Floors On Main* 2021 Kitchen Quartz Counters, Floor Tiles, Backsplash &  Light Fixture* 1 Garage 1 Parking * Ideal For 1st Time Buyers..."
85,92 King St 1507,665000,2+1,2,,Church-Yonge Corridor,King St,"Amazing Sunlit Corner Suite W/ Se Exposures,Overlooking St. James Cathedral.Approx 926 Sqft. 2 Bd,2 Bath & Solarium- Great Space For Home Office. Add Your Own Persoal Touches And Make This Your New Home. Lamiante Floors Thru Living/Dining, Solarium & Bedrooms. Freshly..."
86,1486 Bathurst St 201,748880,2,2,,Humewood-Cedarvale,Bathurst St,"Beautiful, Bright & Spacious 2 Bed + 2 Bath Unit -756Sqft Condo, Flr To Ceiling Views, Open Concept, 193 Sqft Outdoor Living Balcony Space, Granite Counter Tops,9 Ft Ceilings, Upgraded Closet Built-Ins. Enjoy The Boutique Club Features W/ A Fully Equipped Exercise/Yoga..."
87,28 Ted Rogers Way 606,625000,1+1,1,Ted Rogers Way,,,"Perfect For The Professional! Live In The Heart Of The City! Walk To Work, Play Or Nest At Home! Close To Everything  Ttc/Subway Nearby, Parks, Restos & Pubs. Walkscore = 96,Steps Away From Subway&Streetcars, Yonge/Bloor, Yorkville High End Shops,Cafes,Restaurants, U..."
88,101 Walmer Rd,1550000,2+1,3,,Annex,Walmer Rd,"Immaculate, Dutch Clean, Luxury Townhome In High Demand & Prestige Area - Annex. Features: Gleaming Hardwood Fl., Bay Window, Crown Moulding, High Ceiling, Designer Island Kitchen, Gas Fireplace, Skylites, Deck, Glass Railings, 4 Pc. Ensuite In Master Bedrm.  Two..."
89,151 Dan Leckie Way 906,709000,2+1,2,,Waterfront Communities C1,Dan Leckie Way,"Gorgeous Modern Condo Unit At A Prime Location. Waterfront Communities With 2 Bedroom+ Den, 2 Bath W/ Ensuite . 748 Sqft?+ Balcony, Large Floor To Ceiling Windows. Offers Breathtaking Views. Kitchen W/ Quartz Countertop And Backsplash, In-Suite Laundry. Amazing..."
90,29 Singer Crt Th03,899999,2+1,3,,Bayview Village,Singer Crt,"Location! Location!Desirable Concord Park Place 2 Storey 9' Ceiling Townhome, Approx 1338 Sq Ft + 122 Sqft Terrace, Clear North View Overlook W/O Oversized Terrace. Sep Entrance. 2 Side By Side Parking Near Elevator & Extra Large Locker, Modern Open Concept Kit, Liv..."
91,783 Rymal Rd,899900,3,3,Hamilton,Allison,Rymal Rd,"Welcome To 783 Rymal Road E, This Home Is An Entertainer's Delight! Desirable Mountain Locale, This Beautifully Renovated From Top To Bottom And Perfect For The Growing Family! This Wonderful Home Boasts 3 Large Bedrooms, 2.5 Baths. Incredible Open Concept Main Floor..."
92,331 Bland 14th Line,999990,3,1,Cavan Monaghan,Rural Cavan Monaghan,Bland 14th Line,"Just Over 86 Acres Of Beautiful, Serene & Private Rolling Hills W/Fabulous Views; Meadows & Plenty Of Hardwood W/Trails. Choose To Improve & Add On To Existing, Rustic Cabin (Sold As Is, Where Is) Or Demolish & Build Your Dream Home Here. Zoned Natural Linkage..."
93,8 Huffman Ave,799999,2,3,Port Hope,Port Hope,Huffman Ave,"Beautifully Maintained Bungalow In Port Hope's West End! This Beautiful Sun-Filled Home Features, Open Concept Living And Kitchen Area, W/O To Deck And Private Fenced Rear Yard, Gas Fireplace, S/S Appliances, Office Space, Finished Basement Offers A Generous Rec Room..."
94,112 Watercrest Dr,3889000,4,4,,Stoney Creek,Watercrest Dr,Luxury Waterfront Home With Custom Upgrades (Please See Sch C)On A Beautiful Deep Lot.Enjoy The Magnificent Unobstructed View Of Lake Ontario And All What It Offers In Your Own Backyard. 4000 Sq Ft Plus Home W/Finished Walkout Basement.Main-Floor W/Breath-Taking...
95,320 Colton Circ,888888,4,4,Kitchener,,,"Custom Built By Westbury Homes-4 Bed, 4 Bath Backsplit Features Brand New Kitchen, Quartz Counters, 24'X24' Porcelain Tiles, Hardwood Flooring, Spacious Floor Plan Boasts 2425Sqft Fully Fin. W/Walkout Basement & Side Entrance To Lower Level. Fully Fenced Yard W..."
96,91 Hemlock Way,1450000,3+1,3,Grimsby,,,"Offers Welcome Anytime! Why Wait To Put In An Offer An Over Bid On A Home, When You Can Fall In Love And Buy 91 Hemlock Way Right Away. Welcome To A Fully Family Home Located In Grimsby. In Aug. 2020: New Aggregate Concrete Patio, Driveway, Walkway At Sides Of House..."
97,81 Hatt Crt,1199000,3,3,Milton,Ford,Hatt Crt,Absolutely Stunning Corner Lot Mattamy Townhouse With 3Bdrms 3Wrms. Bright & Spacious W/Plenty Of Oversized Windows Boasts A Panoramic Escarpment View. Ample Of Handpicked Upgrades. Highly Upgraded Cabinetry & Eat-In Gourmet Kitchen W/Backsplash & Quartz Counter...
98,83 Centre St,999000,3+2,2,Brampton,Bram East,Centre St,"Spectacular 3+2 Bedroom Detached Bungalow In Peel Village . This Home Is Fully Renovated On Main Level With New Hardwood Floors, All New Doors Made Of Poplar Wood,New Baseboards, Kitchen Renovated With New Cabinets, Built In Appliances, Quartz Countertops, Backsplash..."
99,34 Fanning Tr,2249990,4+2,6,,Toronto Gore Rural Estate,Fanning Tr,"Absolute Luxurious House Located In ""Value Of Humber' In Brampton!This Stunning Home On 47Ft X142 Ft Premium Lot W Features Of 4+2Br & 6Washrooms,No House@ The Back & On Quiet Street,Legal Basmnt,Approx.$250K Spent On Quality Upgrades!10Ft Ceiling On Main,Some Accent..."
100,106 Griselda Cres,869900,3+1,3,Brampton,Northgate,Griselda Cres,"Wow! Absolutely Stunning, Excellent Location, The Perfect Starter Family Home! 3 Br Semi-Detached 2 Storey With 3 Full Baths, New Floors On The Main Floor And Upstairs, Two Full Baths Upstairs, Newly Painted, Eat-In Kitchen, W/O To Large Deck And Gazebo, Tool Shed In..."
101,6 Relton Circ,1799000,4+2,4,,Vales of Castlemore,Relton Circ,"Elegant & Gracious Detached Home In Highly Demanded Area Of Castlemore Spectacular Super Clean !! Hardwood Floor, Granite Counter Tops With Light Fixtures, 2 Fridge, 2 Stove & Dishwasher, Washer & Dryer All Window Coverings. Shed In The Backyard. Amazing Property To..."
102,41 Dunure Cres,1275000,3+1,4,,Fletcher's Meadow,Dunure Cres,Absolutely Stunning All Brick Semi-Detached With Great Curb Appeal ; No Side Walk At Front ; 3 Bedrooms + 4 Washrooms With Finished Basement(Rec Room & 4 Pc Bath) In Desirable Neighborhood ; Ceramics Floor On Main Level & Upgraded Laminate On 2nd Floor Thru-Out...
103,17 Argyle Cres,899900,4+1,3,,Avondale,Argyle Cres,"Fully Renovated With Maple Hardwood On Main, Laminate In Bdrm, Modern Kitchen, Stainless Steel Fridge,Stove, Dishwasher, Canopy Range Hood, 3 Renovated Washrooms With Shower And Sliding Glass Doors, Vanities With Quartz Counter Tops, Maple Hardwood Staircase, Clothes..."
104,101 Stoneylake Ave,1299900,4,3,,Madoc,Stoneylake Ave,!!! Gorgeous Executive Luxury House In Lakelands Village !!! Sep Living/Dining And Family Room In Main Floor With Maple Hardwood Floor And Upstairs Hallway. 4 Good Size Bedrooms. Master Bedroom Comes With 4 Pc Ensuite And Walk/In Closet. Professional Landscaping In...
105,63 Maplewood Rd,1790000,4,2,Mississauga,Mineola,Maplewood Rd,"Great Opportunity To Own A Detached Home In Coveted Mineola Community On 90+ Ft Frontage Lot.  Sun-Filled Functional Back Split 4, Surrounded By Mature Trees,  Double Garage, Newer Eat-In Kitchen With S/S Appliances, Smooth Ceiling, New Painting T/O, New Paving, Upper..."
106,24 Wexford Rd,1699000,4+3,5,,Heart Lake West,Wexford Rd,"Stunning Detached (3200Sqft Approx), W/Office On Main, Sep. Family/Living, Chef Delight Upgraded Kitchen With S/S Appliances, Granite Countertops, Pot Lights, Oak Stairs W/ Iron Pickets, Master W/5Pc Ensuite And W/I Closet, 3 Other Good Size Bedrooms, Upgraded..."
107,12 Mortimer Dr,1499900,4+2,4,Mortimer Dr,,,!!! Your Search Is Over  Stunning 4 +2 Bedroom Detached Ultra Luxury House !!! Professionally Built 2 Bedroom *Legal Basement Apartment* (With Certificate As A 2nd Dwelling Unit ) Upgrades Galore - Features Sep Living/Dining & Family Rooms! Engineered Floor In Main...
108,85 Pappain Cres,1499000,4+2,4,,Snelgrove,Pappain Cres,"Beautiful Corner Detached Home 4+2 Bed, 4 Bath, 2 Car Garage (4 Cars On Driveway). 2 Kitchens, Sep Side Entrance, Access To House From Garage. High Demand Area Of Snelgrove! Spacious & Well Maintained. Hardwood & Laminate Floors, Oak Staircase, Custom Kitchen With S/S..."
109,3242 Morning Star Dr,999900,3+3,3,,Malton,Morning Star Dr,Attn Investors & 1st Time Buyers Rarely Offered For Sale!Renovated Semi In A High Demand Neighborhood Of Newly Built Million Dollar Homes In Mississauga.This Home Offers Main Level With Living Dining W/Pot Lights & Tons Of Natural Light W/Walkout To Front Patio! Custom...
110,121 Mill St,2175000,3,3,Milton,Old Milton,Mill St,"Stunning Victorian Home Crafted In 1879 In Historic Downtown Milton. The Vintage Character Of This Century Home Includes Updated Elec, Plumbing, Hvac, Insulation. 2800 Sq Ft Living Space W/Soaring 10 Ft Ceilings, Orig Hrdwd Flrs & Oak Trim, Bsbrd, & Door Hardware. Main..."
111,1421 Wakehurst Crescent Cres,2300000,4+1,4,Oakville,Clearview,Wakehurst Crescent Cres,"Immaculately Renovated Home Delivers Top-To-Bottom Qual Finishes Combining Style, Luxury And Function Situated In One Of The Most Desired Family-Friendly Neighborhood  Of Clearview. This 4+1 Bed, 4 Bath Home Boasts Over 3,700 Total Sqft. Dual Combination Decor Oven..."
112,47 Campbell Ave,899000,3+1,2,Oro-Medonte,Hawkestone,Campbell Ave,"Fully Renovated Geodesic Dome Home With Over 2700 Finished Sqft! Incredible Geodesic Dome Home Situated On A Large Private Lot Walking Distance From The Lake & Close To Boat Launches, Skiing, & The Hwy! Completely Renovated Interior With Over 2700Sqft & Sleek Design..."
113,49 Stollar Blvd,999999,4,3,Barrie,Little Lake,Stollar Blvd,"Stunning 2-Story 4 Brm Detached Home Is Located In Highly Sought After Neighbourhood In North Barrie. Close To The Barrie Golf Club, Schools, Shopping, Hospital & Hyw 400! Backs Onto Private Treed Ravine. This Home Offers A Designer Kitchen W/Granite Counters & Walkout..."
114,153 Violet St,1149000,3+2,5,,Holly,Violet St,A Very Beautiful Home Located In The Highly Desirable Holly Community. This Home Has Many Features Your Family Will Love.3 Bedrooms With 3 Full Washrooms Upstairs.2 Bedrooms Finished Basement With Separate Entrance. Very Spacious Brick Home In A Family Friendly...
115,57 Lucerne Dr,1100000,3,3,Vaughan,Vellore Village,Lucerne Dr,"Move In Ready 3 Bedrooms Semi-Detached House In The Much Desired Area Of Vellore Village. Large Renovated Kitchen, Large Foyer, Built-In Sound System, Direct Access To Home From Garage. New Exterior Pot-Lights. Garage Door Opener. No Sidewalk. Close To School..."
116,180 Lewis Honey Dr,1190000,3+1,4,Aurora,Bayview Northeast,Lewis Honey Dr,"Stunning Newly Renovated Lrge Open-Concept Semi-D Hme In High Demand Family-Oriented Neighborhd. Close To 2500 Sqft Lving Spc. Lrge Mstbed W/I Closet, Granite Countertop Thr-Out. Bright W/Awesome Layout, 9' Ceiling In Main Flr, Spacious Family W/Firepl, Eat-In Kit W/O..."
117,78 Hoard St,1199000,3,3,New Tecumseth,Alliston,Hoard St,"Wow No Need To Wait Any Longer - Welcome Home To This Rarely Available Corner Lot. This 3 Bedroom Home Includes Ample Parking With An Extended Driveway & Newly Installed Pattern Concrete, Nest Thermostat , Freshly Painted, Elegant Kitchen , Walk Out To A Huge Deck With..."
118,78 Bedford Park Ave,1399000,3+2,2,Richmond Hill,Crosby,Bedford Park Ave,"Don't Miss This One! 3 Bedroom Home In The Heart Of Richmond Hill, Large Premium 55X151.62 Ft With Great Privacy Located In A High Desirable Area With Lots Of Amenities And Great Schools: Crosby Heights, Michaelle Jean, Beverley Acres, Alexander Mackenzie, Langstaff..."
119,305 Woodland Acres Cres,6980000,4+2,6,,Rural Vaughan,Woodland Acres Cres,"Stunning 3 Car Garage Detached W/Luxurious Stucco Front & Long Driveway. Over 10,000Sqft Living Space. Functional Layout W/Many Skylights & Chandeliers. Newer Reno & Top Notch Finishes, Over-Sized Windows, Hwd Flr, Iron Pickets, Pot Lights, Crown Mouldings, New 2nd..."
120,26 Ozner Cres,1199888,3,4,Vaughan,Vellore Village,Ozner Cres,"Welcome To This Vellore Village Gem!!!!  This Immaculate Semi Features A Large Living/Dining Room, Spacious Kitchen With Extra Cabinetry, Breakfast Area Has W/O To A Gorgeous Deck, Gleaming Hardwood Floors On Main & 2nd, Finished Basement Comes With A Separate Entrance..."
121,282 Terrace Dr,699900,2,1,Georgina,Keswick South,Terrace Dr,"Bright 2 Bedroom Bungalow, Steps Away To The Lake, Schools, And Transit, Perfect Starter Family Home, Upgraded Kitchen With Granite Countertops And Stainless Steel Appliances, Pot Lights, Living Room With Wood-Burning Fireplace.  Enjoy The Sunset And Breathtaking Lake..."
122,194 Vantage Loop St,858000,3,3,Newmarket,Woodland Hill,Vantage Loop St,"Beautiful 3 Three Bedrooms Townhouse In The Heart Of Newmarket With So Many Upgradess. This Listing Is A 3 Storey ""Brand New"" Never Lived-In Townhome. Functional Floor Plan With Modern Finishes, Hardwood Floors, 9 Foot Ceilings And A Spacious L-Shaped Kitchen With..."
123,21 Arianna Cres,1399000,3+1,4,,Patterson,Arianna Cres,"Absolutely Gorgeous Freehold 3 Bedroom, 4 Bathroom Townhouse By Greenpark. Huge Family Room With Separate Powder Room And Access To Backyard (Walk Out), Can Be Used As 4th Bedroom/Parent Or Nanny Unit.Granite Counter Top In The Kitchen, Backsplash.  S/S Appliances In..."
124,60 Elyse Crt,1188800,4,4,Aurora,Bayview Northeast,Elyse Crt,"Beautiful No Side-Walk Luxury 3-Storey 4 Br Townhome In Desirable Community. Walk Out Basement Back To Ravine. Main Flr 10' And 2nd Flr 9'. Granite Countertop And Center Island In Kitchen. Large Master Rm W/ 4Pc Ensuite, W/I Closet. Hardwood Floor Throughout 2nd&3rd..."
125,619 Park Rd,699900,3+1,2,Oshawa,McLaughlin,Park Rd,"Lovely All Brick Bungalow In North End Of Oshawa. This Home Is Perfect For First Time Buyer Or Empty Nesters. Hardwood Flrs On Main Flr, Except For Kitchen & Bthrm. Freshly Painted Thru-Out Main Flr. New Flooring In The Kitchen & Bthrm On The Main Flr. All New Windows..."
126,1 Burwell St,829900,2,2,Whitby,Taunton North,Burwell St,"Rare End Unit Bungalow Townhouse Bathed In Light. You Will Fall In Love With The Open Layout !! Hardwood Floors Throughout. Kitchen With Granite Counters, Stainless Steel Appliances, Undermount Lighting. Direct Entrance To Garage, Interlock Walkway, Sprinkler System..."
127,15 O'malley Cres,2199000,4+1,4,,Pringle Creek,O'malley Cres,"Completely Renovated 4+1 Bed, 4 Bath Home Backing Onto Forest & Ravine. In One Of Whitby's Finest Neighbourhoods & School Districts. Offering Over 5000 Sq. Ft. Of Finished Living Space, Kitchen W/ Hidden Pantry, 36"" Cooktop, Quartz Throughout & Glass Wine Cellar.  His..."
128,7 Greenbush Pl,1449888,4+1,4,Greenbush Pl,,,"Luxurious Dream Home! One Of A Kind 4+1 Bed And 4 Bath Home. Appr. 4200 Sqft Of Living Space. $$$ Spent On Upgrades. Cameras/Alarm/Exterior Lighting Control. Smooth Ceilings, Pot Lights, Chandeliers, Hardwood Flrs, Crn Mldng. Upgrd Kitchen With Quartz Counters, Island..."
129,45 Workmens Circ,1299800,3+1,4,Ajax,Northwest Ajax,Workmens Circ,"Bright & Spacious 3+1 Br Coughlan Homes Community/Wooded Ravine Premium Lot- *Bungaloft End Unit W/ Double Car Garage*. ""Luxurious Finishes"" Open Concept (2,848 Sf ) Open To Above Design. Ground Flr- Master Retreat W/5 Pce Ensuite &10' Ceilings. Gourmet Kit W/Granite..."
130,81 Magpie Way,700000,3,4,,Blue Grass Meadows,Magpie Way,"This Spacious 3 Bedroom, 4 Bathroom Home Is Not To Be Missed. Ground Floor Family Room With 2Pc Bath & Garage Access. Open Modern Concept With Large Living & Dining Room Complete With Smooth Ceilings & Pot Lights Throughout. Kitchen With Eat-In Space Includes Granite..."
131,65 Glenshaw Cres,2849000,4,5,Toronto,O'Connor-Parkview,Glenshaw Cres,"Welcome To A Luxurious Brand New Custom Build Home In The Sought After Area Of Parkview Hills. No Expenses Spared. Stunning Residence W/High-End Finishes, Chef Inspired Kitchen W/ Quartz Waterfall Island & Butler's Pantry, Hickory Hw Flr, Family Rm With W/O To Large..."
132,2619 Toffee St,849000,5,4,Pickering,Rural Pickering,Toffee St,"Immaculate 3.5 Years New 2033Sf Luxury Mattamy Freehold Townhouse 5 Bedrooms 3.5 Baths W/Double Garage! Freshly Painted, Crown Moulding, Upgraded Oak Stairs, Laminate Flrs, Beautiful Kitchen W/Upgrd Appl, Granite Counters & Backsplash, W/O To Spacious Balcony For Bbq..."
133,1290 Harlstone Cres,1290000,5+2,5,,Taunton,Harlstone Cres,"3262 Sf, Over $100K Recent Upgrades! 2 Yr New Walkout Bsmnt W/ 2 Bdrms, Kitchen, Living Rm, Laundry. 4+2 Bdrms, 5 Wshrms, 1st Flr Office, 2nd Flr Loft, 17Ft Foyer W/ Crystal Chandelier, Hrdwd Flrs, New Kitchen Cabinets & Stone Countertops, New Dishwasher, Fridge, Hood..."
134,7 Maureen Dr,2780000,3+1,3,,Bayview Village,Maureen Dr,"Fabulous Upgraded Desired Modern Chic Home On Prem. South Lot 50X165Ft In Bayview Village! Over $130K Spent On Renovation From Top To Bottom ('18), High Quality Finishes! Bright And Spacious, Hardwood Flr T/O. Lot Of Potlights. Featuring A Stunning Open Concept Custom..."
